   0.3580 + 0.5718i
  -0.3735 + 0.4200i
  -0.8247 - 0.5139i
   0.8621 - 0.4832i
  -0.8377 - 0.4734i
   0.7044 - 0.0584i
  -0.7855 + 0.5205i
  -0.1040 - 0.2025i
  -0.2475 + 1.0300i
   0.3319 + 0.1609i
   0.1039 + 0.0705i
   0.0851 - 0.1486i
  -0.3279 - 0.2176i
  -0.3291 - 0.1799i
  -0.2430 - 0.0151i
  -0.5137 + 0.2692i
  -1.2031 - 0.2987i
   0.1334 + 0.1984i
  -0.0814 - 0.0116i
   0.1666 + 0.1197i
   0.5385 + 0.3022i
  -0.1004 - 0.5520i
  -0.3252 - 0.0919i
   0.0257 - 0.5049i
   0.1663 + 0.5108i
  -0.0880 - 0.4699i
   0.0858 - 0.4409i
  -0.1551 - 0.6170i
   0.0896 + 0.2515i
  -0.0531 - 0.9629i
   0.8536 + 0.0333i
   0.4521 + 0.1195i
   0.3212 + 0.1233i
   0.0383 - 1.0735i
  -0.0540 + 0.5580i
   0.6154 - 0.4132i
   0.2564 - 0.0049i
  -0.3232 - 0.0970i
   0.0974 + 0.2672i
  -0.9308 + 0.4954i
   0.6978 + 0.5836i
  -0.4337 + 0.2790i
   0.2121 + 0.1156i
  -0.1083 + 0.4526i
   0.1837 - 0.1554i
  -0.2975 - 0.2714i
  -0.5727 - 0.0020i
   0.7017 + 0.1285i
   0.6670 + 0.8038i
   0.0941 + 0.0031i
   0.1788 + 0.1736i
  -0.2724 - 0.0562i
   0.6688 - 0.0975i
   0.1803 - 0.4498i
  -0.4426 - 1.0062i
   1.0362 - 0.5624i
   0.1683 + 0.0365i
   0.0319 - 0.4688i
   0.9429 + 0.2829i
   0.0174 - 0.6049i
  -0.2836 - 0.4260i
   0.0992 + 0.5932i
  -0.5347 + 0.6642i
   0.3639 - 0.6605i
   0.1248 + 0.3232i
   0.2472 - 0.5605i
   0.0434 + 0.0262i
   0.1014 - 0.9970i
   0.3750 - 0.3522i
  -0.0213 - 0.2010i
   0.1448 - 0.7731i
   0.4842 + 0.5153i
   0.3004 + 0.2114i
  -0.0736 + 0.1003i
  -0.2275 - 0.0053i
  -0.6726 - 0.5589i
  -0.0911 + 0.4287i
   0.2835 - 0.1541i
   0.6866 - 0.1755i
   0.5649 - 0.7107i
   0.2849 - 0.8748i
   0.1200 + 0.3957i
   0.3324 + 0.2217i
  -0.0737 - 0.2011i
   0.2913 - 0.4045i
  -0.6699 - 0.4880i
  -0.1236 + 0.5507i
   0.1058 - 0.3539i
   0.1358 + 0.6124i
  -0.3049 + 0.2289i
   0.5520 + 0.0880i
   0.3510 + 0.4765i
  -0.5818 - 1.1481i
  -0.6001 + 0.1806i
  -0.3796 + 0.3592i
  -0.8903 + 0.0101i
  -0.0434 + 0.1960i
   0.5835 + 0.4179i
  -0.5369 - 0.4623i
  -0.8708 - 0.4122i
   0.1892 - 0.2959i
  -0.2648 + 0.6994i
  -0.0261 - 0.0242i
  -0.0408 + 0.4360i
  -0.2105 + 0.1180i
   0.7502 + 0.8377i
  -0.0374 + 0.7391i
  -0.3360 + 0.7247i
   1.3886 - 0.0101i
  -0.4857 - 0.0241i
   0.8321 + 0.2085i
  -0.0479 - 0.4465i
  -1.0810 + 0.7471i
   0.0918 - 0.1468i
   0.2997 + 0.6493i
  -0.6756 - 0.2296i
   0.3179 + 0.7618i
  -0.6535 + 0.5378i
   0.9083 + 0.1827i
  -0.0409 - 1.3156i
   0.3740 + 0.4620i
   0.6548 - 0.0448i
  -0.4413 - 0.1585i
  -1.2059 - 0.1903i
   0.6416 + 0.4063i
   0.3943 + 0.1826i
  -0.8177 - 0.2895i
   0.1168 + 0.5401i
  -1.6509 + 0.3087i
  -0.1770 - 0.0732i
   0.3353 - 0.0435i
   0.3881 + 0.4833i
   0.0534 + 0.0580i
  -0.6767 - 1.2966i
   0.5574 + 0.2175i
   0.0057 - 0.2457i
  -0.0961 - 0.3512i
   0.1549 - 0.2716i
   0.0758 + 0.1963i
   0.6494 - 0.0596i
   0.7917 + 0.2848i
  -0.1174 - 0.4388i
  -0.4902 + 0.0023i
  -0.3416 + 0.1436i
   0.0452 + 0.7185i
   0.8312 + 0.8099i
   1.4183 + 0.8358i
   0.1177 - 0.4452i
  -0.4098 - 0.2434i
  -0.8053 + 0.1582i
   0.5231 - 1.1920i
  -0.5263 - 0.1054i
  -0.4649 + 0.3339i
  -0.0538 + 0.1788i
